"id" "treatment"
"661" 1390 "Akt knockout"
"662" 1391 "E2"
"663" 1391 "Both"
"664" 1392 "Akt knockout"
"665" 1393 "Akt knockout"
"666" 1394 "Akt knockout"
"667" 1395 "Akt knockout"
"668" 1396 "Akt knockout"
"669" 1404 "E2"
"670" 1404 "Akt knockout"
"671" 1404 "Both"
"672" 1412 "Both"
"673" 1414 "E2"
"674" 1420 "E2"
"675" 1420 "Both"
"676" 1427 "E2"
"677" 1427 "Both"
"678" 1428 "E2"
"679" 1428 "Akt knockout"
"680" 1428 "Both"
"681" 1431 "Both"
"682" 1434 "Both"
"683" 1439 "E2"
"684" 1441 "E2"
"685" 1441 "Both"
"686" 1444 "E2"
"687" 1444 "Both"
"688" 1446 "Akt knockout"
"689" 1449 "E2"
"690" 1449 "Akt knockout"
"691" 1471 "Akt knockout"
"692" 1482 "Both"
"693" 1483 "Both"
"694" 1486 "Akt knockout"
"695" 1487 "E2"
"696" 1487 "Both"
"697" 1490 "E2"
"698" 1490 "Both"
"699" 1491 "Both"
"700" 1499 "Akt knockout"
"701" 1501 "Akt knockout"
"702" 1501 "Both"
"703" 1504 "E2"
"704" 1504 "Both"
"705" 1505 "Akt knockout"
"706" 1507 "Both"
"707" 1515 "E2"
"708" 1515 "Both"
"709" 1517 "E2"
"710" 1517 "Both"
"711" 1519 "E2"
"712" 1521 "E2"
"713" 1521 "Akt knockout"
"714" 1522 "E2"
"715" 1522 "Akt knockout"
"716" 1525 "Akt knockout"
"717" 1527 "Both"
"718" 1529 "Akt knockout"
"719" 1533 "Akt knockout"
"720" 1541 "Akt knockout"
"721" 1543 "E2"
"722" 1543 "Both"
"723" 1545 "E2"
"724" 1549 "Both"
"725" 1553 "E2"
"726" 1554 "E2"
"727" 1554 "Both"
"728" 1558 "E2"
"729" 1558 "Akt knockout"
"730" 1558 "Both"
"731" 1563 "Both"
"732" 1565 "E2"
"733" 1565 "Akt knockout"
"734" 1565 "Both"
"735" 1569 "E2"
"736" 1569 "Akt knockout"
"737" 1569 "Both"
"738" 1570 "E2"
"739" 1570 "Both"
"740" 1571 "E2"
"741" 1571 "Both"
"742" 1573 "E2"
"743" 1573 "Akt knockout"
"744" 1573 "Both"
"745" 1578 "E2"
"746" 1582 "Akt knockout"
"747" 1586 "E2"
"748" 1586 "Both"
"749" 1590 "E2"
"750" 1590 "Both"
"751" 1593 "E2"
"752" 1594 "Both"
"753" 1596 "Akt knockout"
"754" 1597 "E2"
"755" 1597 "Akt knockout"
"756" 1603 "Akt knockout"
"757" 1604 "Both"
"758" 1605 "E2"
"759" 1605 "Both"
"760" 1606 "E2"
"761" 1607 "E2"
"762" 1607 "Akt knockout"
"763" 1610 "E2"
"764" 1613 "Akt knockout"
"765" 1614 "E2"
"766" 1614 "Akt knockout"
"767" 1614 "Both"
"768" 1615 "E2"
"769" 1618 "E2"
"770" 1618 "Both"
"771" 1619 "E2"
"772" 1619 "Akt knockout"
"773" 1619 "Both"
"774" 1620 "E2"
"775" 1620 "Both"
"776" 1622 "E2"
"777" 1622 "Akt knockout"
"778" 1623 "E2"
"779" 1623 "Both"
"780" 1628 "Both"
"781" 1629 "Akt knockout"
"782" 1629 "Both"
"783" 1633 "Both"
"784" 1635 "E2"
"785" 1637 "E2"
"786" 1642 "E2"
"787" 1647 "Akt knockout"
"788" 1647 "Both"
"789" 1651 "Both"
"790" 1658 "Both"
"791" 1660 "Akt knockout"
"792" 1661 "E2"
"793" 1661 "Akt knockout"
"794" 1663 "E2"
"795" 1663 "Akt knockout"
"796" 1668 "E2"
"797" 1668 "Both"
"798" 1669 "E2"
"799" 1669 "Both"
"800" 1673 "E2"
"801" 1673 "Both"
"802" 1674 "E2"
"803" 1674 "Both"
"804" 1676 "Akt knockout"
"805" 1680 "Akt knockout"
"806" 1681 "E2"
"807" 1681 "Both"
"808" 1685 "Both"
"809" 1686 "E2"
